Year,child_obesity_Value,child_StratificationCategoryId1,child_StratificationID1,Grade,Gender,Mean household income (dollars),Median household income (dollars),LocationDesc,Mean family income (dollars),Median family income (dollars)
2001,10.5,OVR,OVERALL,,,,,National,,
2001,14.2,GEN,MALE,,Male,,,National,,
2001,10.7,GRADE,GRADE11,11th,,,,National,,
2001,10.4,GRADE,GRADE09,9th,,,,National,,
2001,17.2,RACE,RACENAA,,,,,National,,
2001,15.1,RACE,RACEHIS,,,,,National,,
2001,7.5,RACE,RACEHPI,,,,,National,,
2001,16.0,RACE,RACEBLK,,,,,National,,
2001,8.8,RACE,RACEWHT,,,,,National,,
2001,9.6,GRADE,GRADE12,12th,,,,National,,
2001,6.9,GEN,FEMALE,,Female,,,National,,
2001,10.8,GRADE,GRADE10,10th,,,,National,,
2001,9.2,RACE,RACE2PLUS,,,,,National,,
2001,6.7,RACE,RACEASN,,,,,National,,
2003,15.7,GEN,MALE,,Male,,,National,,
2003,10.3,RACE,RACEWHT,,,,,National,,
2003,17.5,RACE,RACENAA,,,,,National,,
2003,9.8,GRADE,GRADE12,12th,,,,National,,
2003,12.0,OVR,OVERALL,,,,,National,,
2003,14.0,GRADE,GRADE09,9th,,,,National,,
2003,11.4,GRADE,GRADE11,11th,,,,National,,
2003,16.2,RACE,RACEHIS,,,,,National,,
2003,6.8,RACE,RACEASN,,,,,National,,
2003,11.8,GRADE,GRADE10,10th,,,,National,,
2003,8.1,GEN,FEMALE,,Female,,,National,,
2003,16.1,RACE,RACEBLK,,,,,National,,
2003,9.6,RACE,RACE2PLUS,,,,,National,,
2005,12.6,GRADE,GRADE09,9th,,,,National,,
2005,13.0,OVR,OVERALL,,,,,National,,
2005,9.9,GEN,FEMALE,,Female,,,National,,
2005,13.0,RACE,RACENAA,,,,,National,,
2005,11.7,RACE,RACEWHT,,,,,National,,
2005,5.4,RACE,RACEASN,,,,,National,,
2005,13.6,GRADE,GRADE10,10th,,,,National,,
2005,13.2,GRADE,GRADE11,11th,,,,National,,
2005,12.6,GRADE,GRADE12,12th,,,,National,,
2005,16.7,RACE,RACEHIS,,,,,National,,
2005,15.9,RACE,RACEBLK,,,,,National,,
2005,15.9,GEN,MALE,,Male,,,National,,
2005,13.5,RACE,RACE2PLUS,,,,,National,,
2007,12.6,GRADE,GRADE11,11th,,,,National,,
2007,9.4,GEN,FEMALE,,Female,,,National,,
2007,7.2,RACE,RACEASN,,,,,National,,
2007,13.0,GRADE,GRADE10,10th,,,,National,,
2007,10.6,RACE,RACEWHT,,,,,National,,
2007,11.9,GRADE,GRADE12,12th,,,,National,,
2007,18.3,RACE,RACEBLK,,,,,National,,
2007,12.8,OVR,OVERALL,,,,,National,,
2007,16.2,GEN,MALE,,Male,,,National,,
2007,13.5,GRADE,GRADE09,9th,,,,National,,
2007,16.3,RACE,RACEHIS,,,,,National,,
2007,13.5,RACE,RACE2PLUS,,,,,National,,
2007,19.5,RACE,RACENAA,,,,,National,,
2009,14.9,RACE,RACEHIS,,,,,National,,
2009,15.0,RACE,RACEBLK,,,,,National,,
2009,11.8,OVR,OVERALL,,,,,National,,
2009,15.2,GEN,MALE,,Male,,,National,,
2009,13.4,GRADE,GRADE12,12th,,,,National,,
